token,diff_class0,tfidf_class0
like,0.009773338327437143,0.018367372032069833
body,0.00786469000601615,0.009519119903245351
love,0.007597271829038559,0.00908779746424681
new,0.007189381232727905,0.012627723867360035
get,0.00685234968752639,0.013274991776909426
full,0.005874968862625464,0.006935864717205879
let,0.005438730659690605,0.0068451598829724625
lol,0.005237374199565624,0.006346038723112549
know,0.004933220937630172,0.007889216063813318
would,0.004911833166335854,0.008714900936484351
got,0.004665024154469276,0.007767126210316587
see,0.004593160746602881,0.007557356895893416
want,0.0045524024987264955,0.0059316352964054846
screaming,0.004497516015397551,0.005678532388483168
wrecked,0.004356820393282743,0.004903854811485268
ruin,0.004352797080522957,0.0044797967614452336
one,0.004217949162577616,0.010632889739954266
bags,0.004181285036645889,0.004320348090444675
bloody,0.004163982679230636,0.00523915152577047
day,0.004124447121633141,0.007941380823126365
blew,0.0040129262297905035,0.004269687017785612
crush,0.004000757647445983,0.005012414730681178
traumatised,0.0039513857837537416,0.00445401344443207
time,0.0038885291313240705,0.007159576409447687
think,0.0038671996709728814,0.006119897031571342
